featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Microcyclospora;s__unknown_Microcyclospora	0.239237262168096	0.0552692005932345	0.40350564314372	0.319952871307555	4.3910455475281	0.0562905334136855	0.469350962464361	0.479400886377942	0.832496222541342	0.486733193810417	0.836191183457984
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	1.71738458136232	2.279035513277	1.34423698203567	-1.30880922142339	5.89917074701661	-0.192469643860685	0.410810813579956	0.334884652722102	0.773013668158481	0.317329010920898	0.795873531890337
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum	0.263834826826629	0.365975242987412	0.136117560217619	-0.154072341143917	4.39574843178826	-0.0299348560234365	0.482882883398029	0.493248781809469	0.838226957578994	0.496106041291551	0.845829197347982
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Rachicladosporium;s__unknown_Rachicladosporium	0.255934197566194	0.177232902970455	0.334567304526009	0.206416256291317	4.31776376669805	0.0415257208681451	0.479279279903218	0.526256589227999	0.832749499332051	0.520676162173235	0.834046174852927
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Ramichloridium;s__Ramichloridium_indicum	0.308285907438765	0.314551833356544	0.292612433776195	0.02626213083136	4.20984114042443	0.00465272343018981	0.497897897961088	0.489375692894559	0.845773984093015	0.504290512762361	0.839797905677166
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Microcyclosporella;s__Microcyclosporella_mali	0.342526306765458	0.207841610891518	0.492676874539494	0.217558494190766	4.26032989173219	0.0419742636128057	0.476562500706934	0.511666056485165	0.83357651748181	0.519738635891513	0.848663134632619
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerelloides;s__Mycosphaerelloides_madeirae	0.310522554737882	0.165031794296785	0.46425963192756	0.33604780811971	4.19830352214668	0.0696896724946511	0.466346154863617	0.460497328139065	0.795985342070153	0.450298658428997	0.812165704717392
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unknown_Mycosphaerellaceae;s__unknown_Mycosphaerellaceae	0.250279190338232	0.142760012987559	0.384159434177159	0.393975174842077	4.28608611718808	0.0773794998293074	0.457331732062805	0.449822087189375	0.816598316986691	0.452160932521621	0.815770749060862
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unknown_Teratosphaeriaceae;s__unknown_Teratosphaeriaceae	0.332608276702137	0.27424660040462	0.421620215090868	0.228406350635902	4.2776053229015	0.0392732964317095	0.475961539186682	0.507784937598568	0.836993110008617	0.505478324269891	0.841922379608538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unknown_Capnodiales;g__unknown_Capnodiales;s__unknown_Capnodiales	0.280501800916625	0.14216708429636	0.415519466212705	0.202260077070828	4.1132215435666	0.0389342798105858	0.480769231348862	0.50033602709653	0.842927346494587	0.503139771698503	0.853561155957097
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_pullulans	0.431788168644217	0.321255664201853	0.536871823453902	0.212571920629243	4.55695961497789	0.0357015066828536	0.481370192869159	0.4929905398823	0.833802134970243	0.479825437671836	0.822645591512125
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_nigrum	0.651157806555893	0.551763381407307	0.763532148420484	0.0919913734702669	4.9306942411257	0.0175593744493327	0.488288288640537	0.542622176533696	0.853648025221355	0.566569545249018	0.872253131252492
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Morosphaeriaceae;g__Acrocalymma;s__unknown_Acrocalymma	0.319911791566643	0.275123548095901	0.3877319033502	0.216958257282669	4.21430361863603	0.0446234932089671	0.476562500706934	0.520567351168641	0.84371505426268	0.534430305173541	0.855758768894791
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma;s__unknown_Neosetophoma	0.276179345142894	0.1544335548272	0.400561758017315	0.139318561065879	4.136799887797	0.0301291058583311	0.483483483980514	0.481077643776047	0.832328180099762	0.496487275292067	0.852860321820632
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__unknown_Phaeosphaeria	0.29443471197937	0.336696980158144	0.241045962222796	-0.156346394126929	4.21288994626854	-0.035650185218211	0.484684685145497	0.486751207347167	0.828327034261874	0.519984346428954	0.84253495097165
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unknown_Phaeosphaeriaceae;s__unknown_Phaeosphaeriaceae	0.375622134583809	0.305923749043624	0.44656823973832	0.12045371112694	4.39939292928094	0.0263971556764572	0.485285285727994	0.550303551693972	0.859135124668258	0.528974198654678	0.856107174991265
