id,taxon,type,value
518,07ASV_5_unknown_Saccharomycetales,mpre,-0.012947974
519,08ASV_4_unknown_Fungi,mpre,4.963785768
520,09ASV_8_unknown_Fungi,mpre,-0.012947974
521,01g__Candida,mpost,-0.048654173
522,02g__unknown_Saccharomycetales,mpost,-0.048654173
523,03g__unknown_Fungi,mpost,5.254650735
524,04s__Candida_albicans,mpost,-0.036574517
525,05s__unknown_Saccharomycetales,mpost,-0.036574517
526,05s__unknown_Fungi,mpost,5.266730391
527,06ASV_2_Candida_albicans,mpost,-0.010460152
528,07ASV_5_unknown_Saccharomycetales,mpost,-0.010460152
529,08ASV_4_unknown_Fungi,mpost,5.199026001
530,09ASV_8_unknown_Fungi,mpost,-0.010460152
531,01g__Candida,np,-0.048654173
532,02g__unknown_Saccharomycetales,np,-0.048654173
533,03g__unknown_Fungi,np,5.254650735
534,04s__Candida_albicans,np,-0.036574517
535,05s__unknown_Saccharomycetales,np,-0.036574517
536,05s__unknown_Fungi,np,5.266730391
537,06ASV_2_Candida_albicans,np,-0.013048774
538,07ASV_5_unknown_Saccharomycetales,np,-0.013048774
539,08ASV_4_unknown_Fungi,np,-0.013048774
540,09ASV_8_unknown_Fungi,np,4.831138313
541,01g__Candida,np,1.510822923
542,02g__unknown_Saccharomycetales,np,-0.09861499
543,03g__unknown_Fungi,np,4.245190432
544,04s__Candida_albicans,np,1.535306644
545,05s__unknown_Saccharomycetales,np,-0.074131268
546,05s__unknown_Fungi,np,4.269674154
547,06ASV_2_Candida_albicans,np,1.588451625
548,07ASV_5_unknown_Saccharomycetales,np,-0.020986287
549,08ASV_4_unknown_Fungi,np,-0.020986287
550,09ASV_8_unknown_Fungi,np,3.023536151
551,01g__Candida,np,5.199778919
552,02g__unknown_Saccharomycetales,np,-0.07322064
553,03g__unknown_Fungi,np,-0.07322064
554,04s__Candida_albicans,np,5.217957836
555,05s__unknown_Saccharomycetales,np,-0.055041722
556,05s__unknown_Fungi,np,-0.055041722
557,06ASV_2_Candida_albicans,np,5.26472049
558,07ASV_5_unknown_Saccharomycetales,np,-0.008279069
559,08ASV_4_unknown_Fungi,np,-0.008279069
560,09ASV_8_unknown_Fungi,np,-0.008279069
561,01g__Candida,np,5.254650735
562,02g__unknown_Saccharomycetales,np,-0.048654173
563,03g__unknown_Fungi,np,-0.048654173
564,04s__Candida_albicans,np,5.266730391
565,05s__unknown_Saccharomycetales,np,-0.036574517
566,05s__unknown_Fungi,np,-0.036574517
567,06ASV_2_Candida_albicans,np,5.298180942
568,07ASV_5_unknown_Saccharomycetales,np,-0.005123966
569,08ASV_4_unknown_Fungi,np,-0.005123966
570,09ASV_8_unknown_Fungi,np,-0.005123966
571,01g__Candida,np,5.254650735
572,02g__unknown_Saccharomycetales,np,-0.048654173
573,03g__unknown_Fungi,np,-0.048654173
574,04s__Candida_albicans,np,5.266730391
575,05s__unknown_Saccharomycetales,np,-0.036574517
576,05s__unknown_Fungi,np,-0.036574517
577,06ASV_2_Candida_albicans,np,5.298180942
578,07ASV_5_unknown_Saccharomycetales,np,-0.005123966
579,08ASV_4_unknown_Fungi,np,-0.005123966
580,09ASV_8_unknown_Fungi,np,-0.005123966
581,01g__Candida,np,1.546202668
582,02g__unknown_Saccharomycetales,np,-0.063235244
583,03g__unknown_Fungi,np,5.219968484
584,04s__Candida_albicans,np,1.561902453
585,05s__unknown_Saccharomycetales,np,-0.04753546
586,05s__unknown_Fungi,np,5.235668269
587,06ASV_2_Candida_albicans,np,1.598977761
588,07ASV_5_unknown_Saccharomycetales,np,-0.010460152
589,08ASV_4_unknown_Fungi,np,-0.010460152
590,09ASV_8_unknown_Fungi,np,5.199026001
591,01g__Candida,np,1.022399329
592,02g__unknown_Saccharomycetales,np,-0.07621296
593,03g__unknown_Fungi,np,1.869697189
594,04s__Candida_albicans,np,1.041321167
595,05s__unknown_Saccharomycetales,np,-0.057291122
596,05s__unknown_Fungi,np,1.888619027
597,06ASV_2_Candida_albicans,np,1.090585996
598,07ASV_5_unknown_Saccharomycetales,np,-0.008026292
599,08ASV_4_unknown_Fungi,np,-0.008026292
600,09ASV_8_unknown_Fungi,np,1.937883857
601,01g__Candida,np,5.254650735
602,02g__unknown_Saccharomycetales,np,-0.048654173
603,03g__unknown_Fungi,np,-0.048654173
604,04s__Candida_albicans,np,5.266730391
605,05s__unknown_Saccharomycetales,np,-0.036574517
606,05s__unknown_Fungi,np,-0.036574517
607,06ASV_2_Candida_albicans,np,-0.005123966
608,07ASV_5_unknown_Saccharomycetales,np,-0.005123966
609,08ASV_4_unknown_Fungi,np,-0.005123966
610,09ASV_8_unknown_Fungi,np,-0.005123966
611,01g__Candida,np,-0.155489035
612,02g__unknown_Saccharomycetales,np,2.041735542
613,03g__unknown_Fungi,np,3.987645691
614,04s__Candida_albicans,np,-0.116884861
615,05s__unknown_Saccharomycetales,np,2.080339716
616,05s__unknown_Fungi,np,4.026249866
617,06ASV_2_Candida_albicans,np,-0.021183612
618,07ASV_5_unknown_Saccharomycetales,np,2.176040965
619,08ASV_4_unknown_Fungi,np,-0.021183612
620,09ASV_8_unknown_Fungi,np,3.346112218
621,01g__Candida,np,3.441536725
622,02g__unknown_Saccharomycetales,np,-0.113811336
623,03g__unknown_Fungi,np,4.418788157
624,04s__Candida_albicans,np,3.469793333
625,05s__unknown_Saccharomycetales,np,-0.085554729
626,05s__unknown_Fungi,np,4.447044764
627,06ASV_2_Candida_albicans,np,3.540720232
628,07ASV_5_unknown_Saccharomycetales,np,-0.014627829
629,08ASV_4_unknown_Fungi,np,-0.014627829
630,09ASV_8_unknown_Fungi,np,4.517971664
631,01g__Candida,np,3.36806658
632,02g__unknown_Saccharomycetales,np,0.911330807
633,03g__unknown_Fungi,np,3.30922608
634,04s__Candida_albicans,np,3.414564051
635,05s__unknown_Saccharomycetales,np,0.957828279
636,05s__unknown_Fungi,np,3.355723551
637,06ASV_2_Candida_albicans,np,3.532215006
638,07ASV_5_unknown_Saccharomycetales,np,1.075479233
639,08ASV_4_unknown_Fungi,np,-0.023133055
640,09ASV_8_unknown_Fungi,np,3.19574277
641,01g__Candida,np,2.273572218
642,02g__unknown_Saccharomycetales,np,-0.124323054
643,03g__unknown_Fungi,np,3.725824547
644,04s__Candida_albicans,np,2.304438632
645,05s__unknown_Saccharomycetales,np,-0.093456641
646,05s__unknown_Fungi,np,3.756690961
647,06ASV_2_Candida_albicans,np,2.384802313
648,07ASV_5_unknown_Saccharomycetales,np,-0.013092959
649,08ASV_4_unknown_Fungi,np,-0.013092959
650,09ASV_8_unknown_Fungi,np,3.837054642
651,01g__Candida,np,2.128784992
652,02g__unknown_Saccharomycetales,np,-0.068439585
653,03g__unknown_Fungi,np,5.194250604
654,04s__Candida_albicans,np,2.145776889
655,05s__unknown_Saccharomycetales,np,-0.051447688
656,05s__unknown_Fungi,np,5.211242501
657,06ASV_2_Candida_albicans,np,-0.019747387
658,07ASV_5_unknown_Saccharomycetales,np,-0.019747387
659,08ASV_4_unknown_Fungi,np,-0.019747387
660,09ASV_8_unknown_Fungi,np,4.870601741
661,01g__Candida,np,1.039970847
662,02g__unknown_Saccharomycetales,np,-0.058641441
663,03g__unknown_Fungi,np,5.234663383
664,04s__Candida_albicans,np,1.054530102
665,05s__unknown_Saccharomycetales,np,-0.044082187
666,05s__unknown_Fungi,np,5.249222638
667,06ASV_2_Candida_albicans,np,1.084454138
668,07ASV_5_unknown_Saccharomycetales,np,-0.014158151
669,08ASV_4_unknown_Fungi,np,-0.014158151
670,09ASV_8_unknown_Fungi,np,5.139133444
671,01g__Candida,np,-0.084550681
672,02g__unknown_Saccharomycetales,np,-0.084550681
673,03g__unknown_Fungi,np,4.404085689
674,04s__Candida_albicans,np,-0.063558788
675,05s__unknown_Saccharomycetales,np,-0.063558788
676,05s__unknown_Fungi,np,4.425077582
677,06ASV_2_Candida_albicans,np,-0.011464064
678,07ASV_5_unknown_Saccharomycetales,np,-0.011464064
679,08ASV_4_unknown_Fungi,np,-0.011464064
680,09ASV_8_unknown_Fungi,np,4.454444055
681,01g__Candida,np,0.946848437
682,02g__unknown_Saccharomycetales,np,-0.151763852
683,03g__unknown_Fungi,np,3.855569334
684,04s__Candida_albicans,np,0.984527738
685,05s__unknown_Saccharomycetales,np,-0.114084551
686,05s__unknown_Fungi,np,3.893248635
687,06ASV_2_Candida_albicans,np,1.082629429
688,07ASV_5_unknown_Saccharomycetales,np,-0.01598286
689,08ASV_4_unknown_Fungi,np,-0.01598286
690,09ASV_8_unknown_Fungi,np,3.991350325
691,01g__Candida,np,5.254650735
692,02g__unknown_Saccharomycetales,np,-0.048654173
693,03g__unknown_Fungi,np,-0.048654173
694,04s__Candida_albicans,np,5.266730391
695,05s__unknown_Saccharomycetales,np,-0.036574517
696,05s__unknown_Fungi,np,-0.036574517
697,06ASV_2_Candida_albicans,np,-0.005123966
698,07ASV_5_unknown_Saccharomycetales,np,-0.005123966
699,08ASV_4_unknown_Fungi,np,-0.005123966
700,09ASV_8_unknown_Fungi,np,-0.005123966
701,01g__Candida,np,5.254650735
702,02g__unknown_Saccharomycetales,np,-0.048654173
703,03g__unknown_Fungi,np,-0.048654173
704,04s__Candida_albicans,np,5.266730391
705,05s__unknown_Saccharomycetales,np,-0.036574517
706,05s__unknown_Fungi,np,-0.036574517
707,06ASV_2_Candida_albicans,np,5.184563447
708,07ASV_5_unknown_Saccharomycetales,np,-0.013933584
709,08ASV_4_unknown_Fungi,np,-0.013933584
710,09ASV_8_unknown_Fungi,np,-0.013933584
711,01g__Candida,np,5.254650735
712,02g__unknown_Saccharomycetales,np,-0.048654173
713,03g__unknown_Fungi,np,-0.048654173
714,04s__Candida_albicans,np,5.266730391
715,05s__unknown_Saccharomycetales,np,-0.036574517
716,05s__unknown_Fungi,np,-0.036574517
717,06ASV_2_Candida_albicans,np,5.298180942
718,07ASV_5_unknown_Saccharomycetales,np,-0.005123966
719,08ASV_4_unknown_Fungi,np,-0.005123966
720,09ASV_8_unknown_Fungi,np,-0.005123966
721,01g__Candida,np,1.859907917
722,02g__unknown_Saccharomycetales,np,2.111222345
723,03g__unknown_Fungi,np,5.145106384
724,04s__Candida_albicans,np,1.881260195
725,05s__unknown_Saccharomycetales,np,2.132574623
726,05s__unknown_Fungi,np,5.166458663
727,06ASV_2_Candida_albicans,np,1.924979201
728,07ASV_5_unknown_Saccharomycetales,np,2.17629363
729,08ASV_4_unknown_Fungi,np,4.373518207
730,09ASV_8_unknown_Fungi,np,-0.020930948
731,01g__Candida,np,1.006798413
732,02g__unknown_Saccharomycetales,np,3.800006423
733,03g__unknown_Fungi,np,4.925465961
734,04s__Candida_albicans,np,1.029593582
735,05s__unknown_Saccharomycetales,np,3.822801592
736,05s__unknown_Fungi,np,4.94826113
737,06ASV_2_Candida_albicans,np,-0.021435533
738,07ASV_5_unknown_Saccharomycetales,np,3.870384765
739,08ASV_4_unknown_Fungi,np,4.705952286
740,09ASV_8_unknown_Fungi,np,-0.021435533
741,01g__Candida,np,2.945996103
742,02g__unknown_Saccharomycetales,np,5.03137238
743,03g__unknown_Fungi,np,2.466423023
744,04s__Candida_albicans,np,2.970457814
745,05s__unknown_Saccharomycetales,np,5.055834091
746,05s__unknown_Fungi,np,2.490884733
747,06ASV_2_Candida_albicans,np,-0.012143836
748,07ASV_5_unknown_Saccharomycetales,np,5.117754879
749,08ASV_4_unknown_Fungi,np,-0.012143836
750,09ASV_8_unknown_Fungi,np,-0.012143836
751,01g__Candida,np,2.596183053
752,02g__unknown_Saccharomycetales,np,-0.111867148
753,03g__unknown_Fungi,np,5.029796408
754,04s__Candida_albicans,np,-0.084093236
755,05s__unknown_Saccharomycetales,np,-0.084093236
756,05s__unknown_Fungi,np,5.057570321
757,06ASV_2_Candida_albicans,np,-0.018512739
758,07ASV_5_unknown_Saccharomycetales,np,-0.018512739
759,08ASV_4_unknown_Fungi,np,-0.018512739
760,09ASV_8_unknown_Fungi,np,4.930247152
761,01g__Candida,np,-0.083794196
762,02g__unknown_Saccharomycetales,np,-0.083794196
763,03g__unknown_Fungi,np,5.15795282
764,04s__Candida_albicans,np,-0.062990119
765,05s__unknown_Saccharomycetales,np,-0.062990119
766,05s__unknown_Fungi,np,5.178756896
767,06ASV_2_Candida_albicans,np,-0.01809405
768,07ASV_5_unknown_Saccharomycetales,np,-0.01809405
769,08ASV_4_unknown_Fungi,np,-0.01809405
770,09ASV_8_unknown_Fungi,np,-0.01809405
