id,taxon,type,value
120,09ASV_8_unknown_Fungi,mpost,-0.006974792
121,01g__Candida,mpre,4.116339903
122,02g__unknown_Saccharomycetales,mpre,-0.117766601
123,03g__unknown_Fungi,mpre,4.678023944
124,04s__Candida_albicans,mpre,-0.088527997
125,05s__unknown_Saccharomycetales,mpre,-0.088527997
126,05s__unknown_Fungi,mpre,4.707262549
127,06ASV_2_Candida_albicans,mpre,-0.01949619
128,07ASV_5_unknown_Saccharomycetales,mpre,-0.01949619
129,08ASV_4_unknown_Fungi,mpre,4.534380701
130,09ASV_8_unknown_Fungi,mpre,-0.01949619
131,01g__Candida,mpost,-0.048654173
132,02g__unknown_Saccharomycetales,mpost,-0.048654173
133,03g__unknown_Fungi,mpost,5.254650735
134,04s__Candida_albicans,mpost,-0.036574517
135,05s__unknown_Saccharomycetales,mpost,-0.036574517
136,05s__unknown_Fungi,mpost,5.266730391
137,06ASV_2_Candida_albicans,mpost,-0.018549984
138,07ASV_5_unknown_Saccharomycetales,mpost,-0.018549984
139,08ASV_4_unknown_Fungi,mpost,-0.018549984
140,09ASV_8_unknown_Fungi,mpost,-0.018549984
141,01g__Candida,mpre,-0.105917214
142,02g__unknown_Saccharomycetales,mpre,-0.105917214
143,03g__unknown_Fungi,mpre,4.898029092
144,04s__Candida_albicans,mpre,-0.079620526
145,05s__unknown_Saccharomycetales,mpre,-0.079620526
146,05s__unknown_Fungi,mpre,4.92432578
147,06ASV_2_Candida_albicans,mpre,-0.016964031
148,07ASV_5_unknown_Saccharomycetales,mpre,-0.016964031
149,08ASV_4_unknown_Fungi,mpre,4.795220324
150,09ASV_8_unknown_Fungi,mpre,-0.016964031
151,01g__Candida,mpost,3.971234356
152,02g__unknown_Saccharomycetales,mpost,3.867693677
153,03g__unknown_Fungi,mpost,4.254809646
154,04s__Candida_albicans,mpost,4.005903475
155,05s__unknown_Saccharomycetales,mpost,3.902362796
156,05s__unknown_Fungi,mpost,4.289478766
157,06ASV_2_Candida_albicans,mpost,4.096167868
158,07ASV_5_unknown_Saccharomycetales,mpost,3.992627189
159,08ASV_4_unknown_Fungi,mpost,-0.014705997
160,09ASV_8_unknown_Fungi,mpost,-0.014705997
161,01g__Candida,mpost,-0.113599204
162,02g__unknown_Saccharomycetales,mpost,4.929825913
163,03g__unknown_Fungi,mpost,0.985013085
164,04s__Candida_albicans,mpost,-0.085395264
165,05s__unknown_Saccharomycetales,mpost,4.958029853
166,05s__unknown_Fungi,mpost,1.013217025
167,06ASV_2_Candida_albicans,mpost,-0.011963588
168,07ASV_5_unknown_Saccharomycetales,mpost,5.031461529
169,08ASV_4_unknown_Fungi,mpost,-0.011963588
170,09ASV_8_unknown_Fungi,mpost,-0.011963588
171,01g__Candida,mpost,4.777356926
172,02g__unknown_Saccharomycetales,mpost,2.269977421
173,03g__unknown_Fungi,mpost,3.803907781
174,04s__Candida_albicans,mpost,4.733296171
175,05s__unknown_Saccharomycetales,mpost,2.287004357
176,05s__unknown_Fungi,mpost,3.820934717
177,06ASV_2_Candida_albicans,mpost,4.821499344
178,07ASV_5_unknown_Saccharomycetales,mpost,2.37520753
179,08ASV_4_unknown_Fungi,mpost,2.542261615
180,09ASV_8_unknown_Fungi,mpost,-0.022687743
181,01g__Candida,mpre,-0.066228529
182,02g__unknown_Saccharomycetales,mpre,-0.066228529
183,03g__unknown_Fungi,mpre,5.206771029
184,04s__Candida_albicans,mpre,-0.049785584
185,05s__unknown_Saccharomycetales,mpre,-0.049785584
186,05s__unknown_Fungi,mpre,5.223213974
187,06ASV_2_Candida_albicans,mpre,-0.010573361
188,07ASV_5_unknown_Saccharomycetales,mpre,-0.010573361
189,08ASV_4_unknown_Fungi,mpre,4.909407565
190,09ASV_8_unknown_Fungi,mpre,-0.010573361
191,01g__Candida,mpost,-0.126367984
192,02g__unknown_Saccharomycetales,mpost,4.10773852
193,03g__unknown_Fungi,mpost,3.169468882
194,04s__Candida_albicans,mpost,-0.094993864
195,05s__unknown_Saccharomycetales,mpost,4.139112641
196,05s__unknown_Fungi,mpost,3.200843002
197,06ASV_2_Candida_albicans,mpost,-0.014708411
198,07ASV_5_unknown_Saccharomycetales,mpost,4.219398093
199,08ASV_4_unknown_Fungi,mpost,3.120785805
200,09ASV_8_unknown_Fungi,mpost,-0.014708411
201,01g__Candida,mpre,2.114211646
202,02g__unknown_Saccharomycetales,mpre,1.526424981
203,03g__unknown_Fungi,mpre,5.158734084
204,04s__Candida_albicans,mpre,2.134821753
205,05s__unknown_Saccharomycetales,mpre,1.547035088
206,05s__unknown_Fungi,mpre,5.179344191
207,06ASV_2_Candida_albicans,mpre,2.180469058
208,07ASV_5_unknown_Saccharomycetales,mpre,1.592682393
209,08ASV_4_unknown_Fungi,mpre,5.026669597
210,09ASV_8_unknown_Fungi,mpre,-0.01675552
211,01g__Candida,mpost,-0.137167202
212,02g__unknown_Saccharomycetales,mpost,0.961445087
213,03g__unknown_Fungi,mpost,2.060057376
214,04s__Candida_albicans,mpost,-0.103111896
215,05s__unknown_Saccharomycetales,mpost,0.995500392
216,05s__unknown_Fungi,mpost,2.094112681
217,06ASV_2_Candida_albicans,mpost,-0.022625857
218,07ASV_5_unknown_Saccharomycetales,mpost,1.075986432
219,08ASV_4_unknown_Fungi,mpost,2.17459872
220,09ASV_8_unknown_Fungi,mpost,-0.022625857
221,01g__Candida,mpre,-0.048654173
222,02g__unknown_Saccharomycetales,mpre,-0.048654173
223,03g__unknown_Fungi,mpre,5.254650735
224,04s__Candida_albicans,mpre,-0.036574517
225,05s__unknown_Saccharomycetales,mpre,-0.036574517
226,05s__unknown_Fungi,mpre,5.266730391
227,06ASV_2_Candida_albicans,mpre,-0.022538224
228,07ASV_5_unknown_Saccharomycetales,mpre,-0.022538224
229,08ASV_4_unknown_Fungi,mpre,4.396302384
230,09ASV_8_unknown_Fungi,mpre,-0.022538224
231,01g__Candida,mpost,-0.09457663
232,02g__unknown_Saccharomycetales,mpost,4.50054322
233,03g__unknown_Fungi,mpost,4.520543887
234,04s__Candida_albicans,mpost,-0.071095536
235,05s__unknown_Saccharomycetales,mpost,4.524024315
236,05s__unknown_Fungi,mpost,4.544024981
237,06ASV_2_Candida_albicans,mpost,-0.011002381
238,07ASV_5_unknown_Saccharomycetales,mpost,4.584117469
239,08ASV_4_unknown_Fungi,mpost,4.584117469
240,09ASV_8_unknown_Fungi,mpost,-0.011002381
241,01g__Candida,mpost,-0.083947448
242,02g__unknown_Saccharomycetales,mpost,4.775864956
243,03g__unknown_Fungi,mpost,4.206511993
244,04s__Candida_albicans,mpost,-0.063105323
245,05s__unknown_Saccharomycetales,mpost,4.796707081
246,05s__unknown_Fungi,mpost,4.227354118
247,06ASV_2_Candida_albicans,mpost,-0.014484936
248,07ASV_5_unknown_Saccharomycetales,mpost,4.845327469
249,08ASV_4_unknown_Fungi,mpost,1.084127353
250,09ASV_8_unknown_Fungi,mpost,-0.014484936
251,01g__Candida,mpre,3.438568972
